Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2025-05-04 20:57:56.890,11510.0,289.0,7,99.0,False,0,car,0 days 00:00:00.148000,0 days 01:51:30.049000,11.88111111111111
2025-05-04 20:57:57.050,11583.0,291.0,7,99.0,False,0,car,0 days 00:00:00.308000,0 days 01:51:30.209000,24.814444444444444
2025-05-04 20:57:57.210,11626.0,292.0,7,99.0,False,0,car,0 days 00:00:00.468000,0 days 01:51:30.369000,37.79222222222222
2025-05-04 20:57:57.410,11669.0,293.0,7,99.0,False,0,car,0 days 00:00:00.668000,0 days 01:51:30.569000,54.07
2025-05-04 20:57:57.730,10443.0,296.0,7,99.0,False,0,car,0 days 00:00:00.988000,0 days 01:51:30.889000,80.3811111111111
2025-05-04 20:57:57.930,10512.0,297.0,8,99.0,False,0,car,0 days 00:00:01.188000,0 days 01:51:31.089000,96.8811111111111
2025-05-04 20:57:58.370,10589.0,301.0,8,99.0,False,0,car,0 days 00:00:01.628000,0 days 01:51:31.529000,133.67
2025-05-04 20:57:58.570,10654.0,303.0,8,99.0,False,0,car,0 days 00:00:01.828000,0 days 01:51:31.729000,150.50333333333333
2025-05-04 20:57:58.891,10701.0,305.0,8,99.0,False,0,car,0 days 00:00:02.149000,0 days 01:51:32.050000,177.69916666666666
2025-05-04 20:57:59.171,10753.0,306.0,8,99.0,False,0,car,0 days 00:00:02.429000,0 days 01:51:32.330000,201.49916666666664
2025-05-04 20:57:59.411,10690.0,307.0,8,70.0,False,0,car,0 days 00:00:02.669000,0 days 01:51:32.570000,221.9658333333333
2025-05-04 20:57:59.651,10448.0,307.0,8,0.0,False,0,car,0 days 00:00:02.909000,0 days 01:51:32.810000,242.43249999999995
2025-05-04 20:58:00.051,9683.0,279.0,8,0.0,True,0,car,0 days 00:00:03.309000,0 days 01:51:33.210000,273.4325
2025-05-04 20:58:00.211,9218.0,267.0,8,0.0,True,0,car,0 days 00:00:03.469000,0 days 01:51:33.370000,285.2991666666667
2025-05-04 20:58:00.610,8376.0,216.0,8,0.0,True,0,car,0 days 00:00:03.868000,0 days 01:51:33.769000,309.2391666666667
2025-05-04 20:58:00.770,8592.0,194.0,8,0.0,True,0,car,0 days 00:00:04.028000,0 days 01:51:33.929000,317.8613888888889
2025-05-04 20:58:00.970,8872.0,172.0,8,0.0,True,0,car,0 days 00:00:04.228000,0 days 01:51:34.129000,327.4169444444444
2025-05-04 20:58:01.450,9689.0,151.0,4,0.0,True,0,car,0 days 00:00:04.708000,0 days 01:51:34.609000,347.55027777777775
2025-05-04 20:58:01.610,9377.0,151.0,3,0.0,True,0,car,0 days 00:00:04.868000,0 days 01:51:34.769000,354.26138888888886
2025-05-04 20:58:01.850,8605.0,124.0,3,0.0,True,0,car,0 days 00:00:05.108000,0 days 01:51:35.009000,362.5280555555555
2025-05-04 20:58:02.090,8247.0,118.0,3,0.0,True,0,car,0 days 00:00:05.348000,0 days 01:51:35.249000,370.3947222222222
2025-05-04 20:58:02.290,7885.0,113.0,3,0.0,True,0,car,0 days 00:00:05.548000,0 days 01:51:35.449000,376.67249999999996
2025-05-04 20:58:02.490,7625.0,110.0,3,0.0,False,0,car,0 days 00:00:05.748000,0 days 01:51:35.649000,382.7836111111111
2025-05-04 20:58:02.730,7459.0,106.0,3,0.0,False,0,car,0 days 00:00:05.988000,0 days 01:51:35.889000,389.85027777777776
2025-05-04 20:58:02.930,7223.0,103.0,3,0.0,False,0,car,0 days 00:00:06.188000,0 days 01:51:36.089000,395.5725
2025-05-04 20:58:03.250,7470.0,100.0,3,29.0,False,0,car,0 days 00:00:06.508000,0 days 01:51:36.409000,404.4613888888889
2025-05-04 20:58:03.410,7530.0,101.0,3,36.0,False,0,car,0 days 00:00:06.668000,0 days 01:51:36.569000,408.9502777777778
2025-05-04 20:58:03.730,8181.0,107.0,3,57.0,False,0,car,0 days 00:00:06.988000,0 days 01:51:36.889000,418.4613888888889
2025-05-04 20:58:03.890,8434.0,113.0,3,67.0,False,0,car,0 days 00:00:07.148000,0 days 01:51:37.049000,423.4836111111111
2025-05-04 20:58:04.130,9067.0,119.0,3,76.0,False,0,car,0 days 00:00:07.388000,0 days 01:51:37.289000,431.4169444444444
2025-05-04 20:58:04.370,9730.0,127.0,3,84.0,False,0,car,0 days 00:00:07.628000,0 days 01:51:37.529000,439.8836111111111
2025-05-04 20:58:04.730,10712.0,144.0,3,78.0,False,0,car,0 days 00:00:07.988000,0 days 01:51:37.889000,454.28361111111116
2025-05-04 20:58:04.890,10858.0,147.0,3,67.0,False,0,car,0 days 00:00:08.148000,0 days 01:51:38.049000,460.81694444444446
2025-05-04 20:58:05.090,9598.0,152.0,3,60.0,False,0,car,0 days 00:00:08.348000,0 days 01:51:38.249000,469.261388888889
2025-05-04 20:58:05.371,9863.0,157.0,4,64.0,False,0,car,0 days 00:00:08.629000,0 days 01:51:38.530000,481.5161111111111
2025-05-04 20:58:05.611,10405.0,162.0,4,76.0,False,0,car,0 days 00:00:08.869000,0 days 01:51:38.770000,492.3161111111111
2025-05-04 20:58:06.011,11121.0,171.0,4,91.0,False,0,car,0 days 00:00:09.269000,0 days 01:51:39.170000,511.3161111111111
2025-05-04 20:58:06.251,11336.0,185.0,4,99.0,False,0,car,0 days 00:00:09.509000,0 days 01:51:39.410000,523.6494444444445
2025-05-04 20:58:06.531,10844.0,194.0,4,99.0,False,0,car,0 days 00:00:09.789000,0 days 01:51:39.690000,538.7383333333333
2025-05-04 20:58:06.851,10903.0,204.0,5,85.0,False,0,car,0 days 00:00:10.109000,0 days 01:51:40.010000,556.8716666666667
2025-05-04 20:58:07.011,10918.0,206.0,5,86.0,False,0,car,0 days 00:00:10.269000,0 days 01:51:40.170000,566.0272222222222
2025-05-04 20:58:07.330,11262.0,210.0,5,91.0,False,0,car,0 days 00:00:10.588000,0 days 01:51:40.489000,584.6355555555555
2025-05-04 20:58:07.570,11475.0,218.0,5,98.0,False,0,car,0 days 00:00:10.828000,0 days 01:51:40.729000,599.1688888888888
2025-05-04 20:58:07.770,11286.0,222.0,5,98.0,False,0,car,0 days 00:00:11.028000,0 days 01:51:40.929000,611.5022222222221
2025-05-04 20:58:08.090,10539.0,227.0,6,98.0,False,0,car,0 days 00:00:11.348000,0 days 01:51:41.249000,631.68
2025-05-04 20:58:08.290,10636.0,231.0,6,98.0,False,0,car,0 days 00:00:11.548000,0 days 01:51:41.449000,644.5133333333332
2025-05-04 20:58:08.570,11029.0,237.0,6,98.0,False,0,car,0 days 00:00:11.828000,0 days 01:51:41.729000,662.9466666666665
2025-05-04 20:58:08.730,11039.0,238.0,6,98.0,False,0,car,0 days 00:00:11.988000,0 days 01:51:41.889000,673.5244444444443
2025-05-04 20:58:09.050,11227.0,243.0,6,99.0,False,0,car,0 days 00:00:12.308000,0 days 01:51:42.209000,695.1244444444443
2025-05-04 20:58:09.370,11440.0,249.0,6,99.0,False,0,car,0 days 00:00:12.628000,0 days 01:51:42.529000,717.2577777777776
2025-05-04 20:58:09.690,11657.0,255.0,6,99.0,False,0,car,0 days 00:00:12.948000,0 days 01:51:42.849000,739.9244444444444
2025-05-04 20:58:10.010,10942.0,259.0,6,98.0,False,0,car,0 days 00:00:13.268000,0 days 01:51:43.169000,762.9466666666666
2025-05-04 20:58:10.250,10600.0,264.0,7,98.0,False,0,car,0 days 00:00:13.508000,0 days 01:51:43.409000,780.5466666666665
