Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2024-05-05 21:29:40.467,11300.0,283.0,7,98.0,False,0,car,0 days 00:00:00.108000,0 days 02:21:59.699000,8.49
2024-05-05 21:29:40.667,11437.0,285.0,7,98.0,False,0,car,0 days 00:00:00.308000,0 days 02:21:59.899000,24.323333333333338
2024-05-05 21:29:40.947,11506.0,287.0,7,98.0,False,0,car,0 days 00:00:00.588000,0 days 02:22:00.179000,46.64555555555556
2024-05-05 21:29:41.307,11550.0,290.0,7,98.0,False,0,car,0 days 00:00:00.948000,0 days 02:22:00.539000,75.64555555555556
2024-05-05 21:29:41.507,11588.0,291.0,7,98.0,False,0,car,0 days 00:00:01.148000,0 days 02:22:00.739000,91.81222222222222
2024-05-05 21:29:41.947,11694.0,293.0,7,98.0,False,0,car,0 days 00:00:01.588000,0 days 02:22:01.179000,127.62333333333333
2024-05-05 21:29:42.187,11729.0,294.0,7,98.0,False,0,car,0 days 00:00:01.828000,0 days 02:22:01.419000,147.22333333333333
2024-05-05 21:29:42.507,11735.0,295.0,7,98.0,False,0,car,0 days 00:00:02.148000,0 days 02:22:01.739000,173.44555555555556
2024-05-05 21:29:42.667,11772.0,295.0,7,99.0,False,0,car,0 days 00:00:02.308000,0 days 02:22:01.899000,186.55666666666664
2024-05-05 21:29:42.867,11744.0,295.0,7,99.0,False,0,car,0 days 00:00:02.508000,0 days 02:22:02.099000,202.94555555555556
2024-05-05 21:29:43.067,11764.0,295.0,7,99.0,False,0,car,0 days 00:00:02.708000,0 days 02:22:02.299000,219.33444444444447
2024-05-05 21:29:43.267,11540.0,295.0,7,97.0,False,0,car,0 days 00:00:02.908000,0 days 02:22:02.499000,235.72333333333333
2024-05-05 21:29:43.427,11540.0,293.0,7,41.0,False,0,car,0 days 00:00:03.068000,0 days 02:22:02.659000,248.74555555555557
2024-05-05 21:29:43.667,11075.0,287.0,7,0.0,True,0,car,0 days 00:00:03.308000,0 days 02:22:02.899000,267.87888888888887
2024-05-05 21:29:43.867,10652.0,280.0,7,0.0,True,0,car,0 days 00:00:03.508000,0 days 02:22:03.099000,283.4344444444444
2024-05-05 21:29:44.107,9526.0,244.0,7,0.0,True,0,car,0 days 00:00:03.748000,0 days 02:22:03.339000,299.7011111111111
2024-05-05 21:29:44.346,9187.0,214.0,7,0.0,True,0,car,0 days 00:00:03.987000,0 days 02:22:03.578000,313.90833333333336
2024-05-05 21:29:44.626,9067.0,176.0,7,0.0,True,0,car,0 days 00:00:04.267000,0 days 02:22:03.858000,327.5972222222223
2024-05-05 21:29:44.786,9223.0,156.0,6,0.0,True,0,car,0 days 00:00:04.427000,0 days 02:22:04.018000,334.53055555555557
2024-05-05 21:29:45.146,9042.0,141.0,3,0.0,True,0,car,0 days 00:00:04.787000,0 days 02:22:04.378000,348.6305555555556
2024-05-05 21:29:45.426,8102.0,119.0,3,0.0,True,0,car,0 days 00:00:05.067000,0 days 02:22:04.658000,357.8861111111112
2024-05-05 21:29:45.586,7978.0,112.0,3,0.0,True,0,car,0 days 00:00:05.227000,0 days 02:22:04.818000,362.86388888888894
2024-05-05 21:29:45.866,7187.0,106.0,3,0.0,True,0,car,0 days 00:00:05.507000,0 days 02:22:05.098000,371.10833333333335
2024-05-05 21:29:46.106,6795.0,100.0,3,0.0,True,0,car,0 days 00:00:05.747000,0 days 02:22:05.338000,377.77500000000003
2024-05-05 21:29:46.427,6575.0,94.0,3,0.0,False,0,car,0 days 00:00:06.068000,0 days 02:22:05.659000,386.1566666666667
2024-05-05 21:29:46.707,6260.0,91.0,3,4.0,False,0,car,0 days 00:00:06.348000,0 days 02:22:05.939000,393.2344444444445
2024-05-05 21:29:47.027,6749.0,90.0,3,27.0,False,0,car,0 days 00:00:06.668000,0 days 02:22:06.259000,401.2344444444445
2024-05-05 21:29:47.227,6970.0,95.0,3,37.0,False,0,car,0 days 00:00:06.868000,0 days 02:22:06.459000,406.51222222222225
2024-05-05 21:29:47.467,7625.0,98.0,3,51.0,False,0,car,0 days 00:00:07.108000,0 days 02:22:06.699000,413.04555555555555
2024-05-05 21:29:47.827,8213.0,110.0,3,70.0,False,0,car,0 days 00:00:07.468000,0 days 02:22:07.059000,424.04555555555555
2024-05-05 21:29:48.067,9103.0,118.0,3,78.0,False,0,car,0 days 00:00:07.708000,0 days 02:22:07.299000,431.9122222222222
2024-05-05 21:29:48.347,10043.0,131.0,3,86.0,False,0,car,0 days 00:00:07.988000,0 days 02:22:07.579000,442.1011111111111
2024-05-05 21:29:48.547,10503.0,141.0,3,86.0,False,0,car,0 days 00:00:08.188000,0 days 02:22:07.779000,449.9344444444444
2024-05-05 21:29:48.827,11004.0,148.0,3,64.0,False,0,car,0 days 00:00:08.468000,0 days 02:22:08.059000,461.4455555555555
2024-05-05 21:29:49.267,9787.0,157.0,4,54.0,False,0,car,0 days 00:00:08.908000,0 days 02:22:08.499000,480.63444444444434
2024-05-05 21:29:49.427,9904.0,159.0,4,60.0,False,0,car,0 days 00:00:09.068000,0 days 02:22:08.659000,487.701111111111
2024-05-05 21:29:49.667,10324.0,163.0,4,60.0,False,0,car,0 days 00:00:09.308000,0 days 02:22:08.899000,498.5677777777777
2024-05-05 21:29:49.867,10852.0,169.0,4,81.0,False,0,car,0 days 00:00:09.508000,0 days 02:22:09.099000,507.95666666666654
2024-05-05 21:29:50.067,11243.0,178.0,4,98.0,False,0,car,0 days 00:00:09.708000,0 days 02:22:09.299000,517.8455555555555
2024-05-05 21:29:50.227,11610.0,186.0,4,98.0,False,0,car,0 days 00:00:09.868000,0 days 02:22:09.459000,526.1122222222222
2024-05-05 21:29:50.507,12036.0,195.0,4,82.0,False,0,car,0 days 00:00:10.148000,0 days 02:22:09.739000,541.2788888888888
2024-05-05 21:29:50.947,10947.0,203.0,5,78.0,False,0,car,0 days 00:00:10.588000,0 days 02:22:10.179000,566.0899999999999
2024-05-05 21:29:51.106,11028.0,208.0,5,84.0,False,0,car,0 days 00:00:10.747000,0 days 02:22:10.338000,575.2766666666666
2024-05-05 21:29:51.586,11636.0,218.0,5,98.0,False,0,car,0 days 00:00:11.227000,0 days 02:22:10.818000,604.3433333333334
